Business Name,Business Type,Address,Phone Number,Rating,Online Delivery,Website
Sunny Poke,"Asian Fusion, Hawaiian, Poke",1784 West Ave,+13059741970,4,Yes,https://www.yelp.com/biz/sunny-poke-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Swan,Modern European,90 NE 39th St,+13057040994,3.5,Yes,https://www.yelp.com/biz/swan-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Master's Pizza Pasta & Grill,"Pizza, Italian, Pasta Shops",1720 Alton Rd,+13056722763,3.5,Yes,https://www.yelp.com/biz/masters-pizza-pasta-and-grill-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Wolfsonian-FIU,Museums,1001 Washington Ave,+13055311001,4,No,https://www.yelp.com/biz/the-wolfsonian-fiu-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Casablanca On the Bay,"Seafood, Cuban",1717 N Bayshore Dr,+13053714930,3.5,Yes,https://www.yelp.com/biz/casablanca-on-the-bay-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Bagel Club,"Bagels, Coffee & Tea, Sandwiches",2400 N Miami Ave,+17862754397,4.5,Yes,https://www.yelp.com/biz/the-bagel-club-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sazon Cuban Cuisine,"Cuban, Bars, Breakfast & Brunch",7305 Collins Ave,+13058614727,4,Yes,https://www.yelp.com/biz/sazon-cuban-cuisine-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Morla,"Seafood, Tapas/Small Plates",91 SE 2nd St,+17863594221,4.5,No,https://www.yelp.com/biz/morla-miami-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
SoundScape Park Miami Beach,"Music Venues, Public Art",400 17th St,,4.5,No,https://www.yelp.com/biz/soundscape-park-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
PLANTA Queen Coconut Grove,"Sushi Bars, Asian Fusion, Breakfast & Brunch",3015 Grand Ave,+17866002835,4.5,Yes,https://www.yelp.com/biz/planta-queen-coconut-grove-coconut-grove-7?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Baia Beach Club Miami,Mediterranean,1100 West Ave,+13055141949,3.5,No,https://www.yelp.com/biz/baia-beach-club-miami-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Tavern,"Bars, Breakfast & Brunch, American (Traditional)",3720 Collins Ave,+13059381145,3,Yes,https://www.yelp.com/biz/the-tavern-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Go Greek Food Truck,"Greek, Mediterranean, Desserts",34 NE 29th St,+19173719455,4.5,No,https://www.yelp.com/biz/go-greek-food-truck-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Rosa Sky,"Lounges, Cocktail Bars",115 SW 8th St,+17866281515,4,No,https://www.yelp.com/biz/rosa-sky-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cafe Americano Ocean Drive,American (New),1144 Ocean Dr,+17867303549,4,Yes,https://www.yelp.com/biz/cafe-americano-ocean-drive-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
DaTangZhenWei,"Chinese, Hot Pot",801 Brickell Bay Dr,+17867474686,3.5,Yes,https://www.yelp.com/biz/datangzhenwei-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
El Rancho Grande,Mexican,314 72nd St,+13053631020,4,Yes,https://www.yelp.com/biz/el-rancho-grande-miami-beach-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
New York Pizza & Restaurant,"Pizza, Italian",245 NE 14th St,+17867175582,4,Yes,https://www.yelp.com/biz/new-york-pizza-and-restaurant-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cafe Avanti,"Wine Bars, Italian, Cocktail Bars",732 W 41st St,+13055384400,4,Yes,https://www.yelp.com/biz/cafe-avanti-miami-beach-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Jacalito Taqueria Mexicana,Mexican,3622 W Flagler St,+13054431336,4,Yes,https://www.yelp.com/biz/jacalito-taqueria-mexicana-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Manta Wynwood,Peruvian,100 NW 25 St,+13053978275,4.5,Yes,https://www.yelp.com/biz/manta-wynwood-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Joey's,"Italian, Pizza, Bars",2506 NW 2nd Ave,+13054380488,3.5,Yes,https://www.yelp.com/biz/joeys-miami-6?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Burgers and Shakes,"Burgers, Coffee & Tea, Hot Dogs",7401 Collins Ave,+13058661145,4,Yes,https://www.yelp.com/biz/burgers-and-shakes-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Klaw Miami,"Steakhouses, Seafood",1737 N Bayshore Dr,+13052392523,4.5,No,https://www.yelp.com/biz/klaw-miami-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Toasted Bagelry & Deli,"Bagels, Delis",83 SW 8th St,+13054006996,3.5,Yes,https://www.yelp.com/biz/toasted-bagelry-and-deli-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mr. Wright's Gold Digger Saloon,"Bars, Tapas Bars, Comfort Food",111 NE 20th St,+17864937537,4.5,Yes,https://www.yelp.com/biz/mr-wrights-gold-digger-saloon-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mofongo,"Puerto Rican, Latin American",1644 SW 8th St,+17865421645,4,Yes,https://www.yelp.com/biz/mofongo-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Donna Mare Trattoria,"Pizza, Italian, Wine Bars",3921 Collins Ave,+13056736273,4,Yes,https://www.yelp.com/biz/donna-mare-trattoria-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Moshi Moshi - Brickell,"Sushi Bars, Ramen",1744 SW 3rd Ave,+18444666744,4,Yes,https://www.yelp.com/biz/moshi-moshi-brickell-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
MC Kitchen,Italian,4141 NE 2nd Ave,+13054569948,4,Yes,https://www.yelp.com/biz/mc-kitchen-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Lure Fishbar,"Sushi Bars, Seafood, Cocktail Bars",1601 Collins Ave,+13056954550,3.5,Yes,https://www.yelp.com/biz/lure-fishbar-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
EST.33 Thai Craft Brewery & Kitchen,"Asian Fusion, Thai, Breweries",701 S Miami Ave,+13054259266,4,No,https://www.yelp.com/biz/est-33-thai-craft-brewery-and-kitchen-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pizza Pazza,"Pizza, Italian",275 NE 18th St,+17867622238,3.5,Yes,https://www.yelp.com/biz/pizza-pazza-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Hookah bar at AURA,"Hookah Bars, American (New), Pop-Up Restaurants",927 Lincoln Rd,+17865055629,4.5,No,https://www.yelp.com/biz/hookah-bar-at-aura-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Silverlake Bistro,"American (Traditional), Wine Bars, Beer Bar",1211 71st St,+17868038113,5,Yes,https://www.yelp.com/biz/silverlake-bistro-miami-beach-5?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Ariete,"American (New), Bars",3540 Main Hwy,+17866153747,4,No,https://www.yelp.com/biz/ariete-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cortadito Coffee House Lincoln Road,"Coffee & Tea, Bakeries, Breakfast & Brunch",1656 Meridian Ave,+17867303548,4.5,Yes,https://www.yelp.com/biz/cortadito-coffee-house-lincoln-road-miami-beach-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Love 'n Gyros,"Greek, Mediterranean, Salad",2814 N Miami Ave,+13055498802,4.5,Yes,https://www.yelp.com/biz/love-n-gyros-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Subs on the Run,Sandwiches,2801 NW 7th Ave,+13056384646,4.5,Yes,https://www.yelp.com/biz/subs-on-the-run-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Ocean Deli,Delis,1941 Liberty Ave,+13055389330,4.5,Yes,https://www.yelp.com/biz/ocean-deli-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Novecento,"Argentine, Steakhouses, Breakfast & Brunch",1414 Brickell Ave,+13054030900,3.5,No,https://www.yelp.com/biz/novecento-brickell-miami-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Dr Smood - Wynwood Organic Cafe,"Coffee & Tea, Juice Bars & Smoothies, Cafes",2230 NW 2nd Ave,+17866755418,4,Yes,https://www.yelp.com/biz/dr-smood-wynwood-organic-cafe-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
PEZ,"Seafood, Mexican, Cocktail Bars",20 W Flagler St,+13055703440,4,Yes,https://www.yelp.com/biz/pez-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Nostimo Greek Kitchen,"Greek, Mediterranean",170 NW 24th St,+13054180808,4,Yes,https://www.yelp.com/biz/nostimo-greek-kitchen-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Versailles Bakery,Bakeries,3501 SW 8th St,+13054412500,4,Yes,https://www.yelp.com/biz/versailles-bakery-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Five Guys,"Burgers, Fast Food, Hot Dogs",1500 Washington Ave,+13055383807,3.5,Yes,https://www.yelp.com/biz/five-guys-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
D'Oro Caffe & Market,"Italian, Desserts, Wine Bars",17 NE 3rd Ave,+13053716300,4.5,Yes,https://www.yelp.com/biz/d-oro-caffe-and-market-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sylvano’s,"Italian, Seafood, Sports Bars",2426 NE 2nd Ave,+17867038200,4.5,Yes,https://www.yelp.com/biz/sylvano-s-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Drexel,American (New),1436 Drexel Ave,+13056920992,4.5,No,https://www.yelp.com/biz/the-drexel-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bianco Gelato,"Gelato, Ice Cream & Frozen Yogurt",3137 Commodore Plz,+17867175315,4.5,Yes,https://www.yelp.com/biz/bianco-gelato-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
El Carajo International Tapas & Wines,"Spanish, Tapas Bars, Wine Bars",2465 SW 17th Ave,+13058562424,4,Yes,https://www.yelp.com/biz/el-carajo-international-tapas-and-wines-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Nusr-Et Steakhouse,Steakhouses,999 Brickell Ave,+13054159990,3,Yes,https://www.yelp.com/biz/nusr-et-steakhouse-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pura Vida - Edgewater,"Breakfast & Brunch, Wraps, Salad",1756 N Bayshore Dr,,3.5,Yes,https://www.yelp.com/biz/pura-vida-edgewater-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Poke 305,"Hawaiian, Poke",1250 S Miami Ave,+13055633811,4,Yes,https://www.yelp.com/biz/poke-305-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mom's New York Pizza,"Pizza, Food Delivery Services, Italian",1059 Collins Ave,+13053978844,4,Yes,https://www.yelp.com/biz/moms-new-york-pizza-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Stephanie's Crepes,"Creperies, Gluten-Free",2423 Galiano St,+17864021732,4.5,Yes,https://www.yelp.com/biz/stephanies-crepes-coral-gables?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Ted's Hideaway,"Sports Bars, Dive Bars",124 2nd St,+13055329869,4,Yes,https://www.yelp.com/biz/teds-hideaway-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Marion,"Cocktail Bars, American (New), Asian Fusion",1111 SW 1st Ave,+17867177512,3.5,Yes,https://www.yelp.com/biz/marion-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Dukunoo,"Caribbean, Cocktail Bars, Seafood",316 NW 24th St,+17863345150,3.5,Yes,https://www.yelp.com/biz/dukunoo-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pura Vida - West Ave,"Breakfast & Brunch, Salad, Wraps",959 West Ave,,4,Yes,https://www.yelp.com/biz/pura-vida-west-ave-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cortadito Coffee House Washington,"Bakeries, Sandwiches, Coffee & Tea",1429 Washington Ave,+17866340834,4.5,Yes,https://www.yelp.com/biz/cortadito-coffee-house-washington-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sugar,"Cocktail Bars, Venues & Event Spaces",788 Brickell Plz,+17868054655,3,Yes,https://www.yelp.com/biz/sugar-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
7tyone Restaurant & Coffee,"Venezuelan, Pizza, Cafes",1130 Normandy Dr,+17864955181,4.5,Yes,https://www.yelp.com/biz/7tyone-restaurant-and-coffee-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
George's Restaurant & Lounge,Italian,300 72nd St,+13058645586,4.5,Yes,https://www.yelp.com/biz/georges-restaurant-and-lounge-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Il Dante Caffé,"Coffee & Tea, Breakfast & Brunch, Bakeries",760 Ocean Dr,+13056723535,4.5,Yes,https://www.yelp.com/biz/il-dante-caff%C3%A9-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
La Latina,"Tapas/Small Plates, Latin American, Vegetarian",3509 NE 2nd Ave,+13055719655,3.5,Yes,https://www.yelp.com/biz/la-latina-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Hutong,"Chinese, Cocktail Bars, Seafood",600 Brickell Ave,+17863880805,3.5,Yes,https://www.yelp.com/biz/hutong-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Phuc Yea,"Vietnamese, Asian Fusion, Cocktail Bars",7100 Biscayne Blvd,+13056023710,3.5,No,https://www.yelp.com/biz/phuc-yea-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sweet Caroline Karaoke Bar,"Karaoke, Cocktail Bars",1111 SW 1st Ave,+17866732522,4.5,No,https://www.yelp.com/biz/sweet-caroline-karaoke-bar-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Rosinella,"Italian, Wine Bars, Pizza",525 Lincoln Rd,+13056728777,3.5,Yes,https://www.yelp.com/biz/rosinella-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Night Owl Cookies,"Desserts, Bakeries",163 NW 25th St,+17869536076,4.5,No,https://www.yelp.com/biz/night-owl-cookies-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Rakija Lounge,"Hookah Bars, Mediterranean, Middle Eastern",1131 Collins Ave,+17865584805,3.5,Yes,https://www.yelp.com/biz/rakija-lounge-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cousins Maine Lobster - Miami,"Seafood, Food Trucks",,+17866003824,3.5,No,https://www.yelp.com/biz/cousins-maine-lobster-miami-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Moonlight restaurant,"Mediterranean, Cocktail Bars",445 Española Way,+13053978743,4.5,Yes,https://www.yelp.com/biz/moonlight-restaurant-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Quinto,Steakhouses,788 Brickell Plz,+17868054646,3.5,Yes,https://www.yelp.com/biz/quinto-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Copal Rooftop Bar @ Pez Loco,"Lounges, Cocktail Bars, Breakfast & Brunch",50 NW 24th St,+13052227768,3.5,No,https://www.yelp.com/biz/copal-rooftop-bar-pez-loco-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Rik Rak Salon 1,"Hair Salons, Bars, Women's Clothing",1428 Brickell Ave,+13053717324,4,No,https://www.yelp.com/biz/rik-rak-salon-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Boulud Sud Miami,"Mediterranean, Bars, Breakfast & Brunch",255 Biscayne Blvd Way,+13054218800,4,Yes,https://www.yelp.com/biz/boulud-sud-miami-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Marabu Restaurant,"Cuban, Latin American",701 S Miami Ave Brickell City Ctr,+17865988012,4,Yes,https://www.yelp.com/biz/marabu-restaurant-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Skyviews Miami Observation Wheel,Amusement Parks,401 Biscayne Blvd,,4.5,No,https://www.yelp.com/biz/skyviews-miami-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Walt Grace Vintage,"Guitar Stores, Car Dealers, Coffee & Tea",300 NW 26th St,+17864838180,5,No,https://www.yelp.com/biz/walt-grace-vintage-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Doggi's Arepa Bar,"Venezuelan, Burgers, Hot Dogs",7281 Biscayne Blvd,+17865589538,4,Yes,https://www.yelp.com/biz/doggis-arepa-bar-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bubba Tea N Smoothies,"Bubble Tea, Juice Bars & Smoothies, Coffee & Tea",2617 N Miami Ave,+17863910851,4,Yes,https://www.yelp.com/biz/bubba-tea-n-smoothies-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
El Bajareque Restaurant,"Latin American, Puerto Rican, Breakfast & Brunch",278 NW 36th St,+13055765170,4,Yes,https://www.yelp.com/biz/el-bajareque-restaurant-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
